vn5wn0cf0cn0st300500p1:5000,Average,Median,Average runtime,vn5wn0cf0cn0st300500p1_0,vn5wn0cf0cn0st300500p1_1,vn5wn0cf0cn0st300500p1_2,vn5wn0cf0cn0st300500p1_3,vn5wn0cf0cn0st300500p1_4,vn5wn0cf0cn0st300500p1_5,vn5wn0cf0cn0st300500p1_6,vn5wn0cf0cn0st300500p1_7,vn5wn0cf0cn0st300500p1_8,vn5wn0cf0cn0st300500p1_9,vn5wn0cf0cn0st300500p1_10,vn5wn0cf0cn0st300500p1_11,vn5wn0cf0cn0st300500p1_12,vn5wn0cf0cn0st300500p1_13,vn5wn0cf0cn0st300500p1_14,vn5wn0cf0cn0st300500p1_15,vn5wn0cf0cn0st300500p1_16,vn5wn0cf0cn0st300500p1_17,vn5wn0cf0cn0st300500p1_18,vn5wn0cf0cn0st300500p1_19,vn5wn0cf0cn0st300500p1_20,vn5wn0cf0cn0st300500p1_21,vn5wn0cf0cn0st300500p1_22,vn5wn0cf0cn0st300500p1_23,vn5wn0cf0cn0st300500p1_24,vn5wn0cf0cn0st300500p1_25,vn5wn0cf0cn0st300500p1_26,vn5wn0cf0cn0st300500p1_27,vn5wn0cf0cn0st300500p1_28,vn5wn0cf0cn0st300500p1_29
vn5wn0cf0cn0st300500p5:5000,Average,Median,Average runtime,vn5wn0cf0cn0st300500p5_0,vn5wn0cf0cn0st300500p5_1,vn5wn0cf0cn0st300500p5_2,vn5wn0cf0cn0st300500p5_3,vn5wn0cf0cn0st300500p5_4,vn5wn0cf0cn0st300500p5_5,vn5wn0cf0cn0st300500p5_6,vn5wn0cf0cn0st300500p5_7,vn5wn0cf0cn0st300500p5_8,vn5wn0cf0cn0st300500p5_9,vn5wn0cf0cn0st300500p5_10,vn5wn0cf0cn0st300500p5_11,vn5wn0cf0cn0st300500p5_12,vn5wn0cf0cn0st300500p5_13,vn5wn0cf0cn0st300500p5_14,vn5wn0cf0cn0st300500p5_15,vn5wn0cf0cn0st300500p5_16,vn5wn0cf0cn0st300500p5_17,vn5wn0cf0cn0st300500p5_18,vn5wn0cf0cn0st300500p5_19,vn5wn0cf0cn0st300500p5_20,vn5wn0cf0cn0st300500p5_21,vn5wn0cf0cn0st300500p5_22,vn5wn0cf0cn0st300500p5_23,vn5wn0cf0cn0st300500p5_24,vn5wn0cf0cn0st300500p5_25,vn5wn0cf0cn0st300500p5_26,vn5wn0cf0cn0st300500p5_27,vn5wn0cf0cn0st300500p5_28,vn5wn0cf0cn0st300500p5_29
Entropy,,,,1.0,1.0,1.0,1.0,0.8277293767706428,0.8277293767706428,1.0,0.6554587535412855,0.8277293767706428,1.0,0.8277293767706428,1.0,0.8277293767706428,1.0,1.0,0.8277293767706428,0.8277293767706428,1.0,0.8277293767706428,1.0,0.8277293767706428,1.0,1.0,0.8277293767706428,1.0,0.5904362833084089,0.8277293767706428,0.8277293767706428,1.0,1.0
p_sd,,,,0.12106196760337244,0.13564659966250536,0.0958331884056875,0.06499230723708768,0.10613199329137281,0.12998461447417534,0.1092520022699813,0.1232882800593795,0.09715966241192894,0.10762899237658968,0.15646085772486354,0.10244998779892558,0.1547126368465097,0.09879271228182776,0.10762899237658967,0.15252540771950093,0.0958331884056875,0.07735631842325487,0.1217209924376235,0.10353743284435828,0.1310877568653915,0.1471869559437928,0.10983624174196785,0.08255906976220116,0.1330263131865271,0.1310877568653915,0.08908422980528034,0.15440207252495025,0.13230268326832983,0.12419339757008017
st_sd,,,,63.874877690685246,31.368774282716245,32.0,68.0,49.23413450036468,42.708313008125245,30.59411708155671,49.79959839195493,46.647615158762406,38.67815921162743,12.0,53.665631459994955,53.14132102234569,69.39740629158989,71.442284397967,52.38320341483518,44.090815370097204,49.558046773455466,37.094473981982816,64.06246951218786,26.38181191654584,28.0,73.59347797189639,46.9041575982343,44.0,54.258639865002145,41.182520563948,16.24807680927192,64.31174076325411,46.04345773288535
k_step_v2 -a:k 1,608.6633333333334,582.39,52,567.66,390.67,403.6,736.4599999999999,544.74,504.27,501.09000000000003,457.67,617.97,693.91,429.09000000000003,1152.5,665.21,826.1,936.8900000000001,362.55,699.8599999999999,571.0,562.6800000000001,593.78,494.1,694.9599999999999,372.01,693.75,747.31,423.91,364.46,647.6500000000001,800.33,803.7199999999999
k_step_v2 -a:k 2,962.0566666666668,900.82,60,875.8499999999999,1179.67,880.4300000000001,685.6499999999999,1061.07,759.81,814.95,811.31,1000.8900000000001,1254.5900000000001,483.18000000000006,1328.6699999999998,834.28,972.62,1092.92,889.2,1058.25,635.71,979.3499999999999,897.7900000000001,706.79,903.85,811.46,1467.2499999999998,1343.0699999999997,677.3299999999999,359.02,1659.8,991.5799999999999,1445.36
k_step_v2 -a:k 3,1183.2276666666667,1208.31,92,1587.1399999999999,1288.17,1069.39,1447.35,1575.95,1545.51,613.04,818.13,894.7,1714.5800000000002,379.53999999999996,2500.79,1212.09,1342.78,1337.81,317.88,933.5999999999998,784.59,649.28,895.53,1079.52,1204.53,1585.5100000000002,1339.54,1327.08,801.28,1330.88,1892.0,1171.99,856.65
all_in_cluster -a:maxd 120 -a:minp 2,1196.2906666666668,1281.9399999999998,60,1052.64,1317.22,1154.85,1438.1599999999999,300.3,1814.7799999999997,982.52,817.37,1376.08,1931.42,773.81,1498.12,1273.1,1447.69,1000.6599999999999,1290.7799999999997,1036.06,1009.5700000000002,757.66,1297.99,726.8299999999999,1327.73,1598.6999999999998,1418.5099999999998,1483.2799999999997,739.48,810.0,1334.65,1107.44,1771.3199999999997
greedy_priority,455.7976666666666,440.82,96,452.01,275.85,394.35,578.02,449.16999999999996,270.08,357.23,499.63,416.18999999999994,449.79,230.65999999999997,664.4799999999999,422.12,674.68,600.06,249.95999999999998,941.68,302.67,432.47,452.42999999999995,321.78,352.82,531.48,553.92,654.43,269.23,522.25,330.56,388.46000000000004,635.4699999999999
gravitational_search,435.3273333333333,425.39000000000004,345,452.01,313.37,394.35,588.47,428.6600000000001,270.08,273.68,499.63,416.18999999999994,681.81,140.23,681.73,422.12,683.5,613.5799999999999,128.82999999999998,547.64,266.26,474.87,452.42999999999995,364.88000000000005,357.92999999999995,531.48,317.07,654.43,269.23,522.6,330.56,388.46000000000004,593.74
onion_search_hamilton -a:cnum 2,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onion_search_hamilton -a:cnum 4,0.0,0.0,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onion_search_heuristic -a:cnum 2,0.0,0.0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onion_search_heuristic -a:cnum 4,0.0,0.0,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


vn5wn0cf0cn0st100600p1:5000,Average,Median,Average runtime,vn5wn0cf0cn0st100600p1_0,vn5wn0cf0cn0st100600p1_1,vn5wn0cf0cn0st100600p1_2,vn5wn0cf0cn0st100600p1_3,vn5wn0cf0cn0st100600p1_4,vn5wn0cf0cn0st100600p1_5,vn5wn0cf0cn0st100600p1_6,vn5wn0cf0cn0st100600p1_7,vn5wn0cf0cn0st100600p1_8,vn5wn0cf0cn0st100600p1_9,vn5wn0cf0cn0st100600p1_10,vn5wn0cf0cn0st100600p1_11,vn5wn0cf0cn0st100600p1_12,vn5wn0cf0cn0st100600p1_13,vn5wn0cf0cn0st100600p1_14,vn5wn0cf0cn0st100600p1_15,vn5wn0cf0cn0st100600p1_16,vn5wn0cf0cn0st100600p1_17,vn5wn0cf0cn0st100600p1_18,vn5wn0cf0cn0st100600p1_19,vn5wn0cf0cn0st100600p1_20,vn5wn0cf0cn0st100600p1_21,vn5wn0cf0cn0st100600p1_22,vn5wn0cf0cn0st100600p1_23,vn5wn0cf0cn0st100600p1_24,vn5wn0cf0cn0st100600p1_25,vn5wn0cf0cn0st100600p1_26,vn5wn0cf0cn0st100600p1_27,vn5wn0cf0cn0st100600p1_28,vn5wn0cf0cn0st100600p1_29
