simple_worlds,Average,Sum,simple_worlds_0,simple_worlds_1,simple_worlds_2,simple_worlds_3,simple_worlds_4,simple_worlds_5,simple_worlds_6,simple_worlds_7,simple_worlds_8,simple_worlds_9,simple_worlds_10,simple_worlds_11,simple_worlds_12,simple_worlds_13,simple_worlds_14,simple_worlds_15,simple_worlds_16,simple_worlds_17,simple_worlds_18,simple_worlds_19,simple_worlds_20,simple_worlds_21,simple_worlds_22,simple_worlds_23,simple_worlds_24,simple_worlds_25,simple_worlds_26,simple_worlds_27,simple_worlds_28,simple_worlds_29
k_step_v2 -a:k 1 -t 1500,1491.2472074776904,44737.41622433072,1321.2640889811898,1793.9479695503596,1138.1618325756588,1460.388888652798,1505.6450181951511,1964.1800170142194,1014.4301370824801,1184.9852843004014,2328.0791830588073,2379.756846416144,1976.0366500018833,1921.9100324813567,2173.7426265652443,1024.5827648409895,1964.8210713493677,1383.8758753253742,1325.726876603861,1034.1805326065155,1383.4320602466746,942.8864591493193,1084.8390821899252,1850.804658515893,1235.868506185977,1798.2448837836034,1695.5186907036423,1961.7419953556434,774.6590383786324,812.8114741684745,1217.1244106722752,1083.7692693788574
k_step_v2 -a:k 2 -t 1500,1260.2197606911614,37806.59282073483,1609.2638253692028,1676.8144582093628,943.9825010654055,628.4173909365785,1331.8692682506398,1777.9168255478385,898.5420880255409,889.361023474993,866.2079823562851,1120.0314124335132,1454.9242780531547,1433.9637660599528,1684.2286624507647,975.8756068496848,1820.6089587445426,1223.8203404269052,1374.2045732358933,866.48867128301,1474.801769250239,861.5188091691418,1202.4539437322687,1635.4433232557021,1679.0244892428557,1509.3157932903578,1318.1492336784538,1670.177205513754,820.5076632713506,1023.1782739299254,1288.9503632762064,746.5503203513136
k_step_v2 -a:k 3 -t 1500,1063.6979235625338,31910.937706876015,1191.6796519891338,1124.650650205282,1034.250729851478,616.3138131769441,825.2719257139549,1846.1583936624056,627.8393239439827,644.9534030815087,326.748570110285,959.2299167250576,1451.7097235970957,1470.4033832174566,1485.6580592393932,710.3136324711764,1483.3374151076691,1003.4486497486155,869.6058300695839,751.2749711166988,1324.5784086484919,1209.2202423633773,1150.513197013096,1466.1897732653488,1443.0435754189375,1810.297021812312,938.2862168801049,1263.8064191391704,556.4119939591208,818.391265813767,941.3682795369009,565.983269997663
k_step_v2 -a:k 4 -t 1500,1017.1739550764263,30515.218652292788,1068.2014641237065,1038.7073304258518,846.0418389215071,538.487124258767,900.9075876212113,1432.69253996627,828.4871329611052,549.6302207112428,624.9881562286903,1431.1234199790144,1223.2186564383896,1166.140043368299,1296.3881632903315,941.5071634386775,1458.0439127214759,832.245999574837,791.0422646871708,845.9856127052584,1220.9774208375386,1110.8284790355951,1000.8562783570351,1278.4411118785895,1077.4202813414176,1340.8773251105936,920.7589542030236,1602.8551291459585,842.2334496227691,802.9618427482354,706.1650097424321,797.0047388477942
all_in_cluster -a:maxd 120 -a:minp 2 -t 1500,1478.0902891838675,44342.70867551603,1813.128872867612,1865.2325520784595,1221.5726998190535,1141.3971914881863,1673.8280544808667,2588.736302826076,920.5359315771123,894.9625017333669,1093.060551724568,1351.2980634272674,1393.468933724693,2555.052518248527,1368.5626113272147,1026.587121647512,2087.1714813008307,842.9758583972538,1572.961480336425,916.9391587295697,2288.327255438257,1188.0282358790018,1565.5251567813928,1299.0914020515347,1791.5776101773072,1624.4401105671966,1331.3497320494628,2416.6062234631127,987.9395534674425,1147.382197763179,1487.079430146442,887.8898819971066
greedy_priority -t 1500,2122.607781601163,63678.23344803489,2497.0009218375762,2900.0979089887032,1714.2603067947418,1542.1463264396607,1880.1990671364617,2990.4890874045914,1784.9121473298105,1419.6114039837105,2152.044223956998,2446.9893744926076,2535.374643838283,2631.3365989541535,2350.4528207306657,1447.1220248934756,2718.575439889427,2178.775111890589,2275.6199566529112,1420.6146607541577,2366.3539503100865,1180.7901645319414,2250.94536447689,2429.7496335124206,2818.5138830206406,2856.012365764759,2599.1505752502067,2282.950808964714,1333.948386669134,1296.6235754496674,2045.5376775407597,1332.035036575145
gravitational_search -t 1500,1283.3555189527235,38500.6655685817,1298.6019844045816,1975.2669517207964,1017.5659344047366,837.5699431231039,972.881420132679,1676.8225826283,1001.3365618165875,1389.3184307878412,1194.9783980588545,1382.142462767417,1389.4839643022892,1292.0424787926158,1468.0509493172694,950.2846947909208,1809.2489903723783,961.3194340650401,1354.4161156240611,929.0352307620742,1612.420208947829,1128.5777763023293,1029.11556566726,1463.92769694551,1738.9534637009804,1710.2210921413262,1070.1590911773133,1661.0588855750802,961.1353151339431,1029.138708060615,1390.9043120395604,804.686925018413


complex_worlds,Average,Sum,complex_worlds_0,complex_worlds_1,complex_worlds_2,complex_worlds_3,complex_worlds_4,complex_worlds_5,complex_worlds_6,complex_worlds_7,complex_worlds_8,complex_worlds_9,complex_worlds_10,complex_worlds_11,complex_worlds_12,complex_worlds_13,complex_worlds_14,complex_worlds_15,complex_worlds_16,complex_worlds_17,complex_worlds_18,complex_worlds_19,complex_worlds_20,complex_worlds_21,complex_worlds_22,complex_worlds_23,complex_worlds_24,complex_worlds_25,complex_worlds_26,complex_worlds_27,complex_worlds_28,complex_worlds_29
