dataset,Average,Sum,example_v-10,example_v-5
k_step_v2 -a:k 3 -t 1000,1194.093503139861,2388.187006279722,896.5257677845348,1491.6612384951873
gravitational_search -t 1000,1696.8216066726254,3393.643213345251,2113.9372845152366,1279.7059288300143
greedy_priority -t 1000,2486.3350375705227,4972.670075141045,3181.0410367065588,1791.6290384344868
