Meow,Sum,example_v-10,example_v-5
k_step_v2,2388.187006279722,896.5257677845348,1491.6612384951873
gravitational_search,3393.643213345251,2113.9372845152366,1279.7059288300143
greedy_priority,4972.670075141045,3181.0410367065588,1791.6290384344868
